number,title,url,created_at,user,state,name,rank,no_species,description,status
40,Introducing the new genus Mineirella in the subfamily Cheilanthoideae (Pteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/40,2023-08-23T21:21:12Z,MoniPonce,closed,Mineirella,Genus,Four species and one hybrid,"Three _Cheilanthes_ species (_C. geraniifolia, C. goyazensis_ and _C. bradei_) from Brazil, Colombia, Bolivia, Paraguay and Venezuela, appear segregated from the _Cheilanthes_ s. str. clade in our molecular phylogeny (Ponce & Scataglini, 2020). These species form a highly supported clade, which is included in the large _Adiantopsis-Doryopteris_ clade. The three species plus two morphologically related taxa, _C. eriophora_ and _C. steyermarkii_, were transferred to the new genus _Mineirella_ Ponce & Scataglini (Dec/2020 on line).",PASSED
39,"The generic circumscription of Cheilanthes Sw. (Cheilanthoideae, Pteridaceae) [NOT PASSED]",https://github.com/pteridogroup/ppg/issues/39,2023-08-23T20:20:59Z,MoniPonce,closed,Cheilanthes Sw.,Genus,70,"From a total of about 100 species of _Cheilanthes_ s.l. , in PPG I (2016), ca. 70 of them would belong to the s. str. clade, distributed in South America, Australasia, Africa, and Madagascar.",NOT PASSED
38,Recognition of nothogenus ×Lindsaeosoria (Lindsaeaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/38,2023-08-21T12:00:00Z,SLehto,closed,×Lindsaeosoria,Nothogenus,1,"Recognition of the nothogenus ×Lindsaeosoria W.H.Wagner, a taxon of hybrid origin between Lindsaea Dryand. ex Sm. and Odontosoria Fée.",PASSED
35,"Recognition of subfam. Campyloneuroideae,  Adetogrammoideae and Serpocauloideae (Polypodiaceae, Polypodiopsida) [PASSED]",https://github.com/pteridogroup/ppg/issues/35,2023-08-15T01:41:48Z,weiran007,closed,"Campyloneuroideae,  Adetogrammoideae, Serpocauloideae",Subfamily,_No response_,"Recognition of subfam. Campyloneuroideae, Serpocauloideae and Adetogrammoideae to keep subfam. Polypodioideae monophyletic.",PASSED
34,"Recognition of Ephemeropteris (Athyriaceae, Polypodiopsida) [PASSED]",https://github.com/pteridogroup/ppg/issues/34,2023-08-15T01:38:41Z,weiran007,closed,Ephemeropteris,Genus,3,"Independence of Ephemeropteris to accommodate Athyrium skinneri, A. palmense and A. tejeroi.",PASSED
33,"Rescue of Anisocampium (Athyriaceae, Polypodiopsida) [PASSED]",https://github.com/pteridogroup/ppg/issues/33,2023-08-15T01:37:23Z,weiran007,closed,Anisocampium,Genus,_No response_,Resurrection of Anisocampium to keep Athyrium monophyletic,PASSED
32,"Rescue of Cornopteris and Pseudathyrium (Athyriaceae, Polypodiopsida) [PASSED]",https://github.com/pteridogroup/ppg/issues/32,2023-08-15T01:35:06Z,weiran007,closed,"Cornopteris, Pseudathyrium",Genus,1,Resurrection of Pseudathyrium to keep Cornopteris and Athyrium monophyletic.,PASSED
31,Hiya gen. nov. (Dennstaedtiaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/31,2023-07-31T09:14:52Z,Hui-Shang,closed,Hiya,Genus,Four,"Recognition of the new genus _Hiya_ H.Shang belonging to the Dennstaedtiaceae family that includes four species previously included in _Hypolepis_: _Hy. brooksiae_ Alderw., _Hy. distans_ Hook., _Hy. nigrescens_ Hook., and _Hy. scabristipes_ Brownsey.",PASSED
28,Recognition of Lecanopteris sensu lato (Polypodiaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/28,2023-07-25T05:10:20Z,DrAshleyField,closed,Lecanopteris,Genus,12,[Perrie et al. (2021)](https://doi.org/10.3767/blumea.2021.66.03.07) re-circumscribed the genus _Lecanopteris_ Reinw. based on a further morphological and philosophical appraisal of the phylogenies of [Testo et al. (2019)](https://doi.org/10.1600/036364419X15650157948607) and [Chen et al. (2020)](https://doi.org/10.1016/j.ympev.2019.106665). _Lecanopteris_ was broadened to include the recently resurrected and recircumscribed genus _Dendroconche_ and recently described genus _Zealandia_ to achieve monophyly from a previously paraphyletic _Microsorum_ and _Colysis_. The abstract of [Perrie et al. (2021)](https://doi.org/10.3767/blumea.2021.66.03.07) is reproduced below:,NOT PASSED
27,Recognition of Bosmania (Polypodiaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/27,2023-07-25T04:57:32Z,DrAshleyField,closed,Bosmania,Genus,3,[Testo et al. (2019)](https://doi.org/10.1600/036364419X15650157948607) introduced the genus _Bosmania_ Testo  based on a molecular phylogenetic and morphological appraisal as part of a multi-genus approach to achieving monophyly from a previously paraphyletic _Microsorum_ and _Colysis_. The abstract of Testo et al. (2019)  is reproduced below:,PASSED
26,Recognition of Zealandia (Polypodiaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/26,2023-07-25T04:48:57Z,DrAshleyField,closed,Zealandia,Genus,3,[Testo et al. (2019)](https://doi.org/10.1600/036364419X15650157948607) described the genus _Zealandia_ Testo & A.R.Field based on a molecular phylogenetic and morphological appraisal as part of a multi-genus approach to achieving monophyly from a previously paraphyletic _Microsorum_ and _Colysis_. The abstract of Testo et al. (2019)  is reproduced below:,NOT PASSED
25,Recognition of Dendroconche (Polypodiaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/25,2023-07-25T04:35:17Z,DrAshleyField,closed,Dendroconche,Genus,6,[Testo et al. (2019)](https://doi.org/10.1600/036364419X15650157948607) resurrected and re-circumscribed the genus _Dendrodonche_ Copel. based on a molecular phylogenetic and morphological appraisal as part of a multi-genus approach to achieving monophyly from a previously paraphyletic _Microsorum_ and _Colysis_. The abstract of Testo et al. (2019)  is reproduced below:,NOT PASSED
21,"Recognize nothogenus ×Cyclobotrya in the Dryopteridaceae, and to keep Cyclodium and Polybotrya as distinct [PASSED]",https://github.com/pteridogroup/ppg/issues/21,2023-07-20T12:32:26Z,schwartsburd,closed,×Cyclobotrya,Nothogenus,2,"Cyclodium and Polybotrya are two Neotropical genera with stable circumscriptions since the 1980s, after their respective taxonomic revisions published by Smith (Amer. Fern J. 76: 56–98. 1986) and Moran (Illinois Nat. Hist. Survey Bull. 34: 1–138. 1987). They show very distinct morphology: Cyclodium has meristeles without schlerenchyma sheaths, the leaves are sub-dimorphic, with the fertile laminae slightly more contracted, and the discrete sori are indusiate (peltate or round-reniform); whereas Polybotrya has meristeles surrounded by schlerenchyma sheaths, the leaves are strongly dimorphic, with the fertile laminae skeletonized, the sori are somehow primarily discrete, but due to the skeletonized laminae, they can get an acrostichoid appearance (sometimes forming coenosori, and sometimes getting to be amfiacrostichoid), and they are never indusiate.",PASSED
18,Recognition of the nothogenus ×Abacopterella (Thelypteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/18,2023-06-28T12:12:07Z,Blotiella,closed,×Abacopterella,Nothogenus,1,"Recognition of the nothogenus  × _Abacopterella_ T.E.Almeida & A.R.Field, a taxon of hybrid origin with parentage originating from species of _Abacopteris_ Fée and _Christella_ H.Lév.",PASSED
17,Recognition of Adetogramma (Polypodiaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/17,2023-06-19T16:04:26Z,Blotiella,closed,Adetogramma,Genus,1,"_Adetogramma_, a monotypic genus in Polypodiaceae, was described by Almeida et al. (2017) to accommodate _Polypodium chrysolepis_ Hook. The species had been previously combined in _Microgramna_ (_Microgramma chrysolepis_(Hook.) Crabbe).",PASSED
15,Recognition of Rouxopteris (Gleicheniaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/15,2023-06-16T04:34:54Z,choess,closed,Rouxopteris,Genus,1,Recognize _Rouxopteris_ Hong M.Liu as a segregate genus from _Gleichenia_ Sm.,PASSED
14,Recognition of Sahashia (Ophioglossaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/14,2023-06-15T05:07:27Z,choess,closed,Sahashia,Genus,1,Recognize _Sahashia_ Li Bing Zhang & Liang Zhang as a segregate genus from _Botrypus_ Michx. sensu PPG I.,PASSED
12,"Rescue of Spicantopsis (Blechnaceae, Polypodiopsida) [PASSED]",https://github.com/pteridogroup/ppg/issues/12,2023-06-12T10:49:15Z,Sonimomi,closed,Spicantopsis,Genus,3,"The genus _Spicantopsis_ Nakai has been resurrected to accommodate three species previously in the genus _Struthiopteris_, which formed a non-monophyletic group.",PASSED
10,Recognition of xOsmunasium nothgen. nov. [PASSED],https://github.com/pteridogroup/ppg/issues/10,2023-05-31T03:43:41Z,choess,closed,xOsmunasium,Nothogenus,1,"This proposal recognizes the nothogenus x _Osmunasium_ for hybrids between the genera _Osmunda_ and _Plenasium_ (Osmundaceae). It contains one species: x _Osmunasium_ x _mildei_, a hybrid between _Osmunda japonica_ and _Plenasium vachellii_.",PASSED
9,Recognition of xOsmunimunda nothgen. nov. [PASSED],https://github.com/pteridogroup/ppg/issues/9,2023-05-31T03:33:18Z,choess,closed,xOsmunimunda,Nothogenus,2,"This proposal recognizes the nothogenus x _Osmunimunda_ for hybrids between the genera _Osmunda_ and _Claytosmunda_ (Osmundaceae). It contains two species: x _Osmunimunda_ x _ruggii_, a hybrid between _Osmunda spectabilis_ and _Claytosmunda claytoniana_, and x _Osmunimunda_ x _nipponica_, a hybrid between _Osmunda japonica_ and _Claytosmunda claytoniana_ subsp. _pilosum_.",PASSED
6,Resurrection of Sitobolium Desv. (Dennstaedtiaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/6,2023-05-23T11:57:05Z,GuguYanez,closed,Sitobolium,Genus,"five. Sitobolium appendiculatum (Wall. ex Hook.) L.A.Triana & Sundue, Sitobolium hirsutum (Sw.) L.A.Triana & Sundue, Sitobolium punctilobulum (Michx.) Desv., Sitobolium wilfordii (T.Moore) L.A.Triana & Sundue, Sitobolium zeylanicum (Sw.) L.A.Triana & Sundue. ",Resurrection of Sitobolium Desv. (Dennstaedtiaceae),PASSED
5,recognize nothgenus xCystocarpium (Cystopteris x Gymnocarpium) [PASSED],https://github.com/pteridogroup/ppg/issues/5,2023-05-17T15:33:59Z,crothfels,closed,xCystocarpium,Nothogenus,1,"This proposal is to recognize the nothogenus, xCystocarpium, between the genera Cystopteris and Gymnocarpium. xCystocarpium contains a single recognized species, xCystocarpium roskamianum Fraser-Jenk.",PASSED
4,Mucura gen. nov. (Dennstaedtiaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/4,2023-05-17T12:05:05Z,GuguYanez,closed,Mucura,Genus,"two - Previously D. globulifera (Poir.) Hieron and D. bipinnata, currently Mucura bipinnata (Cav.) L.A.Triana & Sundue and Mucura globulifera (Poir.) L.A.Triana &Sundue.",Recognition of the new genus Mucura L.A.Triana & Sundue belonging to the Dennstaedtiaceae family that includes two species previously included in Dennstaedtia: D. globulifera (Poir.) Hieron and D. bipinnata (Cav.) Maxon.,PASSED
2,subsume Aenigmopteris into Tectaria [PASSED],https://github.com/pteridogroup/ppg/issues/2,2023-05-10T20:50:36Z,crothfels,closed,Aenigmopteris,Genus,Five,"In PPG I, _Aenigmopteris_ was listed in the Dryopteridaceae as ""subfamily placement uncertain."" Under this proposal, _Aenigmopteris_ would be treated as a synonym of _Tectaria_, in the Tectariaceae.",PASSED
